GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
0500000US01003,01003,"Baldwin County, Alabama",169162,*****,146276,676,16213,782,651,365,778,173,0,265,3035,865,2209,1020,292,291,1917,857
0500000US01015,01015,"Calhoun County, Alabama",112903,*****,86986,565,22605,734,675,194,799,590,0,265,1027,550,811,476,41,72,770,471
0500000US01043,01043,"Cullman County, Alabama",80187,*****,77518,489,1020,71,654,424,35,73,0,265,445,471,515,394,52,100,463,378
0500000US01051,01051,"Elmore County, Alabama",75688,*****,57437,228,15465,1369,509,140,1135,1363,0,265,920,286,222,155,19,35,203,150
0500000US01055,01055,"Etowah County, Alabama",103362,*****,85581,795,15060,148,664,684,536,75,0,265,726,610,795,249,26,46,769,246
0500000US01069,01069,"Houston County, Alabama",95660,*****,68154,313,24694,273,378,160,764,63,0,265,845,332,825,356,172,203,653,254
0500000US01073,01073,"Jefferson County, Alabama",656700,*****,366106,1729,271412,1059,988,429,8418,444,108,177,4368,1531,5300,1387,687,533,4613,1263
0500000US01081,01081,"Lee County, Alabama",125781,*****,92072,863,29169,404,149,121,2405,95,0,265,570,807,1416,463,228,296,1188,435
0500000US01083,01083,"Limestone County, Alabama",72446,*****,60666,696,8894,906,365,394,921,903,0,265,917,696,683,385,0,265,683,385
0500000US01089,01089,"Madison County, Alabama",304307,*****,216682,1147,71811,879,1135,513,6649,454,0,265,2800,1230,5230,988,337,323,4893,928
0500000US01095,01095,"Marshall County, Alabama",87185,*****,82475,1139,1062,975,436,325,1015,954,31,54,1486,1093,680,438,188,320,492,349
0500000US01097,01097,"Mobile County, Alabama",404157,*****,249792,981,139567,1290,2268,415,6683,743,732,1068,1548,773,3567,1007,199,271,3368,998
0500000US01101,01101,"Montgomery County, Alabama",223571,*****,97967,916,118676,718,592,207,3385,153,173,230,780,482,1998,725,505,444,1493,576
0500000US01103,01103,"Morgan County, Alabama",115237,*****,96936,1321,13997,634,771,268,410,423,73,126,2002,1358,1048,506,0,265,1048,506
