GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 years,Margin of Error; Male: - 20 years,Estimate; Male: - 21 years,Margin of Error; Male: - 21 years,Estimate; Male: - 22 to 24 years,Margin of Error; Male: - 22 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 39 years,Margin of Error; Male: - 35 to 39 years,Estimate; Male: - 40 to 44 years,Margin of Error; Male: - 40 to 44 years,Estimate; Male: - 45 to 49 years,Margin of Error; Male: - 45 to 49 years,Estimate; Male: - 50 to 54 years,Margin of Error; Male: - 50 to 54 years,Estimate; Male: - 55 to 59 years,Margin of Error; Male: - 55 to 59 years,Estimate; Male: - 60 and 61 years,Margin of Error; Male: - 60 and 61 years,Estimate; Male: - 62 to 64 years,Margin of Error; Male: - 62 to 64 years,Estimate; Male: - 65 and 66 years,Margin of Error; Male: - 65 and 66 years,Estimate; Male: - 67 to 69 years,Margin of Error; Male: - 67 to 69 years,Estimate; Male: - 70 to 74 years,Margin of Error; Male: - 70 to 74 years,Estimate; Male: - 75 to 79 years,Margin of Error; Male: - 75 to 79 years,Estimate; Male: - 80 to 84 years,Margin of Error; Male: - 80 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 years,Margin of Error; Female: - 20 years,Estimate; Female: - 21 years,Margin of Error; Female: - 21 years,Estimate; Female: - 22 to 24 years,Margin of Error; Female: - 22 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 39 years,Margin of Error; Female: - 35 to 39 years,Estimate; Female: - 40 to 44 years,Margin of Error; Female: - 40 to 44 years,Estimate; Female: - 45 to 49 years,Margin of Error; Female: - 45 to 49 years,Estimate; Female: - 50 to 54 years,Margin of Error; Female: - 50 to 54 years,Estimate; Female: - 55 to 59 years,Margin of Error; Female: - 55 to 59 years,Estimate; Female: - 60 and 61 years,Margin of Error; Female: - 60 and 61 years,Estimate; Female: - 62 to 64 years,Margin of Error; Female: - 62 to 64 years,Estimate; Female: - 65 and 66 years,Margin of Error; Female: - 65 and 66 years,Estimate; Female: - 67 to 69 years,Margin of Error; Female: - 67 to 69 years,Estimate; Female: - 70 to 74 years,Margin of Error; Female: - 70 to 74 years,Estimate; Female: - 75 to 79 years,Margin of Error; Female: - 75 to 79 years,Estimate; Female: - 80 to 84 years,Margin of Error; Female: - 80 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US01003,01003,"Baldwin County, Alabama",195540,*****,94905,1965,5539,993,5936,1208,6917,1805,4267,741,2132,565,529,421,1647,928,3592,1292,5430,921,6351,1144,5109,1140,6022,1436,5938,485,6185,301,6908,1246,2490,689,3788,945,2853,948,3134,719,3841,866,3241,664,1444,545,1612,659,100635,1965,5081,847,6616,1404,5873,1345,4076,873,1758,920,985,536,1721,1122,3855,1769,5075,646,6210,1017,5761,1549,7223,1586,6081,437,7196,636,5993,1288,2650,786,5503,1434,3102,811,3894,886,4168,873,2352,761,2830,917,2632,809
0500000US01015,01015,"Calhoun County, Alabama",116736,*****,56601,798,3769,519,4759,798,2984,794,1922,265,2010,586,1237,563,779,378,2318,741,3735,548,3499,188,3997,902,2993,673,3732,550,3988,452,3643,726,1458,573,2202,706,1151,514,1263,413,2469,576,1371,366,822,330,500,276,60135,798,2972,489,3853,757,3162,710,2538,396,2019,539,762,381,793,417,2494,554,4136,426,3499,75,4867,813,3258,837,3703,474,3716,335,3934,645,1304,553,2770,747,1590,550,1624,515,2451,602,2262,611,1233,419,1195,426
0500000US01043,01043,"Cullman County, Alabama",80811,*****,40215,431,2889,277,3009,740,2207,577,1521,71,522,384,479,283,1101,503,1369,524,2712,429,2411,194,2729,560,2348,553,2760,216,2924,106,2526,457,936,348,1841,449,1193,410,1459,486,1070,401,1234,294,621,227,354,260,40596,431,2423,290,1845,531,2754,479,1412,192,738,192,65,86,299,236,2590,494,2211,98,2312,176,2617,592,2709,705,2539,65,2823,58,3240,574,967,422,1359,474,1203,445,1130,403,2034,497,1231,379,1199,400,896,395
0500000US01049,01049,"DeKalb County, Alabama",71013,*****,34982,1583,1105,576,2729,1165,2650,556,1301,156,745,107,734,610,424,346,2576,1945,1975,584,1884,176,3132,942,1669,609,2851,551,2202,134,1579,588,780,377,1798,627,865,326,1025,406,1263,388,794,290,481,205,420,272,36031,1583,2469,915,2042,780,2553,958,1533,641,669,137,370,329,106,150,1680,642,1705,332,1827,203,2718,871,2461,851,2300,202,2288,69,1731,596,1214,621,1809,626,660,305,733,328,1976,387,1114,556,1573,830,500,262
0500000US01051,01051,"Elmore County, Alabama",80902,*****,39928,553,2116,379,3130,772,2956,733,1362,303,1163,644,402,257,898,564,1530,538,1780,138,3287,665,3002,664,2528,754,3071,615,2821,398,2435,638,597,357,1763,582,745,355,969,353,1577,417,826,332,713,414,257,261,40974,553,1961,309,3164,774,2374,805,1452,206,736,458,592,422,563,372,1657,823,2811,650,2851,559,2768,766,3386,791,2781,400,2896,503,2775,552,827,411,1537,570,926,413,1646,445,939,367,1016,406,784,358,532,299
0500000US01055,01055,"Etowah County, Alabama",103931,*****,50344,768,3267,440,2699,822,3836,677,2435,489,1370,614,388,329,916,495,1810,670,2585,463,3201,610,2900,690,3419,664,3655,443,3712,422,3044,583,1466,414,2203,525,1323,408,1303,457,2047,481,1548,371,775,332,442,291,53587,768,2715,384,3228,729,2459,707,2281,511,1291,384,1547,513,244,215,1697,667,2662,282,2967,332,4500,792,3310,770,3447,463,3816,167,3978,615,1501,476,2027,461,1140,454,2000,517,2319,537,1527,410,1358,450,1573,431
0500000US01069,01069,"Houston County, Alabama",103668,*****,49901,201,3379,210,3224,558,4255,621,2136,111,1115,64,606,206,915,262,1648,224,3171,136,3171,193,2911,428,3402,456,3394,152,3540,119,3046,356,1763,381,1352,274,1311,273,1360,240,1516,195,1212,200,994,183,480,171,53767,201,3080,95,2789,449,3894,438,2115,127,1104,97,475,179,872,297,1969,328,3469,160,3411,95,2779,422,4079,421,3435,120,3966,157,3480,339,1336,273,2085,346,1296,264,1808,281,2009,246,1856,282,1098,233,1362,257
0500000US01073,01073,"Jefferson County, Alabama",659479,*****,311972,730,22152,334,22510,2083,20641,2111,12236,314,8155,327,6160,1262,3272,829,12548,1473,22983,171,22436,545,20017,1780,20379,1756,18992,273,22039,576,20939,1554,8787,1131,10605,1324,6184,1080,7053,1151,9067,1035,6479,901,4805,950,3533,738,347507,730,20976,229,20620,1917,21340,1928,12037,562,8917,411,3375,1054,4099,1045,15285,1422,24711,490,24180,521,22048,1711,22139,1476,21920,542,24566,543,24546,1636,8444,1133,13790,1502,8072,1318,8655,1179,10845,1262,10628,1397,8371,1108,7943,1343
0500000US01077,01077,"Lauderdale County, Alabama",92797,*****,44888,790,2389,289,2702,662,2877,693,1771,364,748,612,928,380,1131,500,3107,1191,3026,381,2548,322,1866,549,2996,579,2752,240,3016,273,3663,530,947,362,1373,393,1182,502,1442,518,1659,464,1474,424,621,329,670,443,47909,790,1920,155,2554,626,2589,622,1850,334,1844,543,1412,618,615,404,1915,641,2458,284,2516,188,2043,643,3268,787,3322,306,3310,281,4592,586,817,353,1291,490,998,480,1386,497,2564,588,2091,535,1035,405,1519,531
