GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0500000US01003,01003,"Baldwin County, Alabama",200111,*****,173137,1565,19588,603,1621,1100,639,898,0,189,1305,1316,3821,1147,1918,1342,1903,910
0500000US01049,01049,"DeKalb County, Alabama",71065,*****,59354,1526,896,657,1126,519,416,321,0,189,7892,1553,1381,876,63,82,1318,876
0500000US01051,01051,"Elmore County, Alabama",80977,*****,60220,507,18242,601,219,158,64,90,0,189,1122,642,1110,565,166,261,944,494
0500000US01055,01055,"Etowah County, Alabama",103531,*****,83905,892,16122,475,338,297,686,389,55,88,757,809,1668,637,0,189,1668,637
0500000US01069,01069,"Houston County, Alabama",104193,*****,72551,438,28680,331,221,171,573,182,0,189,598,303,1570,336,125,74,1445,309
0500000US01073,01073,"Jefferson County, Alabama",660793,*****,346240,2366,277340,2834,2147,737,10715,770,284,347,14420,3353,9647,2096,542,446,9105,2010
0500000US01077,01077,"Lauderdale County, Alabama",93096,*****,80893,213,8534,808,188,192,635,253,0,189,36,62,2810,869,137,179,2673,831
0500000US01081,01081,"Lee County, Alabama",154255,*****,109240,1050,35876,1232,134,147,5159,420,0,189,1127,1019,2719,1292,65,107,2654,1291
0500000US01083,01083,"Limestone County, Alabama",90787,*****,74349,795,12992,1223,416,430,294,315,0,189,815,762,1921,1052,0,189,1921,1052
0500000US01089,01089,"Madison County, Alabama",350299,*****,240157,1668,82298,2691,1526,698,8709,805,341,298,4160,1604,13108,2895,446,460,12662,2777
0500000US01095,01095,"Marshall County, Alabama",94636,*****,85782,1759,2294,270,275,194,449,195,0,189,4269,1770,1567,384,110,144,1457,367
0500000US01097,01097,"Mobile County, Alabama",415123,*****,245445,1847,146554,1931,2343,765,8596,608,47,77,5566,2034,6572,2134,291,283,6281,2187
0500000US01101,01101,"Montgomery County, Alabama",226189,*****,86949,1250,128175,1195,359,270,5887,766,58,95,1664,899,3097,1105,484,471,2613,1032
0500000US01103,01103,"Morgan County, Alabama",119607,*****,99508,1222,15715,614,1700,348,415,456,0,189,1102,1169,1167,637,266,294,901,582
0500000US01115,01115,"St. Clair County, Alabama",86697,*****,75006,734,8616,836,92,161,527,383,0,189,1407,733,1049,962,69,116,980,947
0500000US01117,01117,"Shelby County, Alabama",206655,*****,165564,1672,24599,1020,48,92,4162,670,0,189,8381,1828,3901,1029,211,253,3690,1011
0500000US01121,01121,"Talladega County, Alabama",81322,*****,52540,533,26504,1014,338,327,110,124,0,189,641,527,1189,1008,0,189,1189,1008
0500000US01125,01125,"Tuscaloosa County, Alabama",202212,*****,132385,1548,62601,740,325,220,3055,480,0,189,1704,1507,2142,779,0,189,2142,779
0500000US02020,02020,"Anchorage Municipality, Alaska",301010,*****,194958,2661,17041,2011,21093,2372,27805,1667,6629,623,5122,2006,28362,4067,1727,1128,26635,4023
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",99357,*****,75321,1143,4564,1183,5386,1650,2497,918,588,875,1338,1027,9663,2332,200,286,9463,2250
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",97882,*****,81634,689,714,392,4883,764,1774,356,181,143,576,577,8120,954,89,66,8031,953
0500000US04001,04001,"Apache County, Arizona",71828,*****,16135,687,839,200,51844,341,350,78,0,200,861,586,1799,660,356,388,1443,723
0500000US04003,04003,"Cochise County, Arizona",127448,*****,106504,2576,4774,1150,1562,532,2552,738,61,98,4925,1644,7070,1746,1702,929,5368,1583
0500000US04005,04005,"Coconino County, Arizona",137682,*****,88024,1907,2159,482,36043,979,3038,355,106,173,4399,1726,3913,1487,971,736,2942,1248
0500000US04013,04013,"Maricopa County, Arizona",4087191,*****,3228764,18455,209043,5071,76490,3987,162396,3917,9032,1092,268149,17786,133317,8718,26944,4790,106373,7819
0500000US04015,04015,"Mohave County, Arizona",203361,*****,183875,2827,2462,769,5709,480,2462,684,8,15,5315,2552,3530,1286,919,757,2611,998
0500000US04017,04017,"Navajo County, Arizona",108101,*****,52249,1363,895,476,48675,1388,706,262,62,101,2658,1006,2856,980,412,284,2444,992
0500000US04019,04019,"Pima County, Arizona",1004516,*****,777131,7683,34178,2396,32490,2034,26807,1813,1901,493,88436,6724,43573,4300,13394,2648,30179,3584
0500000US04021,04021,"Pinal County, Arizona",401918,*****,325699,4517,18514,1220,20752,3043,7979,1348,1448,481,13377,3528,14149,3272,1503,885,12646,3262
0500000US04025,04025,"Yavapai County, Arizona",218844,*****,199264,2228,1241,429,3310,1042,2265,418,6,10,7740,2291,5018,1377,78,137,4940,1350
0500000US04027,04027,"Yuma County, Arizona",203247,*****,159621,4674,4723,891,1765,428,2407,726,13,24,29050,4442,5668,1533,1253,661,4415,1358
0500000US05007,05007,"Benton County, Arkansas",242321,*****,214453,1638,4058,608,3780,828,8304,585,961,190,4492,1432,6273,1422,652,548,5621,1210
0500000US05031,05031,"Craighead County, Arkansas",102518,*****,83798,999,13400,1655,600,906,1120,201,668,1126,421,348,2511,1320,113,220,2398,1278
0500000US05045,05045,"Faulkner County, Arkansas",120768,*****,100899,686,14111,451,604,464,1334,232,0,190,1356,709,2464,769,0,190,2464,769
0500000US05051,05051,"Garland County, Arkansas",97322,*****,83623,1507,8226,908,269,328,788,790,45,97,2182,1510,2189,744,30,41,2159,738
0500000US05069,05069,"Jefferson County, Arkansas",72297,*****,30360,154,40731,303,30,52,710,190,0,190,126,130,340,286,0,190,340,286
0500000US05085,05085,"Lonoke County, Arkansas",71557,*****,64581,374,4407,344,206,212,224,147,0,190,255,314,1884,494,162,191,1722,403
0500000US05119,05119,"Pulaski County, Arkansas",392702,*****,231534,1782,140048,1708,627,503,7911,992,57,96,2681,1600,9844,2033,844,561,9000,1957
0500000US05131,05131,"Sebastian County, Arkansas",126776,*****,103046,1354,9238,566,1569,686,5437,583,0,190,2470,1046,5016,1394,860,742,4156,1214
0500000US05143,05143,"Washington County, Arkansas",220792,*****,177302,4172,6388,1376,2384,774,5473,743,4593,1634,16734,4283,7918,2473,855,775,7063,2337
0500000US05145,05145,"White County, Arkansas",78592,*****,71044,697,3463,824,0,190,490,355,152,224,1633,702,1810,717,122,186,1688,698
0500000US06001,06001,"Alameda County, California",1610921,*****,713395,9785,184981,2937,10794,2071,451957,5092,13287,1061,139619,9711,96888,7599,18679,3031,78209,6904
0500000US06007,06007,"Butte County, California",224241,*****,183737,3126,3568,631,4523,2896,9265,1240,305,216,8709,2103,14134,2250,1040,674,13094,2068
0500000US06013,06013,"Contra Costa County, California",1111339,*****,659797,9899,94162,3572,5167,1601,172954,4206,5901,1223,99499,8831,73859,6948,11161,2713,62698,6161
0500000US06017,06017,"El Dorado County, California",183087,*****,160533,2290,1466,679,1542,738,7846,894,283,396,4919,1977,6498,1218,663,499,5835,1134
0500000US06019,06019,"Fresno County, California",965974,*****,584595,11959,49881,2609,8453,2054,96158,2496,2461,953,188131,12131,36295,4915,8009,1910,28286,4349
0500000US06023,06023,"Humboldt County, California",134809,*****,107854,1848,2150,743,7376,1770,3351,682,67,115,5565,1910,8446,1355,322,201,8124,1374
0500000US06025,06025,"Imperial County, California",179091,*****,120726,6649,3993,1181,3238,1701,2744,365,244,282,39264,5980,8882,2827,4540,1875,4342,2028
0500000US06029,06029,"Kern County, California",874589,*****,664002,9492,46940,3009,10342,3361,40765,2224,925,409,77317,8496,34298,4948,8757,2673,25541,4010
0500000US06031,06031,"Kings County, California",150269,*****,93965,4692,9578,1076,2676,714,5293,540,382,308,31201,4088,7174,2089,1302,1102,5872,1847
0500000US06033,06033,"Lake County, California",64184,*****,50076,1369,1483,315,2774,594,590,497,0,200,7572,1509,1689,855,175,226,1514,853
0500000US06037,06037,"Los Angeles County, California",10116705,*****,5313124,35205,830371,6634,63594,7150,1449469,6419,28601,1740,2031385,34181,400161,14240,112231,7458,287930,12348
0500000US06039,06039,"Madera County, California",154548,*****,123679,4643,5401,795,1384,797,3908,612,202,214,13358,3753,6616,2493,3901,2249,2715,676
0500000US06041,06041,"Marin County, California",260750,*****,207308,4209,5536,1052,434,436,15868,962,292,194,20189,4529,11123,2234,1151,741,9972,2120
0500000US06045,06045,"Mendocino County, California",87869,*****,73918,2142,623,335,4098,631,1666,369,137,229,4421,2184,3006,920,247,421,2759,793
0500000US06047,06047,"Merced County, California",266353,*****,161624,7104,9044,521,914,453,19573,1516,310,222,64124,7171,10764,2254,4697,1773,6067,1572
0500000US06053,06053,"Monterey County, California",431344,*****,333058,8224,11311,1111,3950,1307,25836,1534,1886,422,38838,8159,16465,2394,4099,1595,12366,1712
0500000US06055,06055,"Napa County, California",141667,*****,102370,3180,3310,362,681,523,11739,696,47,81,18181,3071,5339,1675,1738,1296,3601,865
0500000US06057,06057,"Nevada County, California",98893,*****,91442,1354,191,157,802,341,1380,324,240,322,1347,962,3491,649,460,441,3031,492
0500000US06059,06059,"Orange County, California",3145515,*****,1982736,19654,51390,3215,14080,2285,599768,8769,8933,1347,362455,20666,126153,10912,23309,3453,102844,9990
0500000US06061,06061,"Placer County, California",371694,*****,312926,3109,5902,772,2342,979,26796,1488,1455,502,9241,2749,13032,1880,1931,924,11101,1677
0500000US06065,06065,"Riverside County, California",2329271,*****,1475692,19867,145374,4469,21276,4420,147907,3885,5570,1256,434413,20630,99039,7608,24882,4535,74157,5654
0500000US06067,06067,"Sacramento County, California",1482026,*****,871895,8170,150307,3636,10329,3187,228084,5154,16250,1198,112118,8865,93043,6881,17449,2915,75594,6503
0500000US06071,06071,"San Bernardino County, California",2112619,*****,1284478,14280,175566,5411,19770,4168,143777,3444,6956,917,396676,13278,85396,6434,21110,2989,64286,5824
0500000US06073,06073,"San Diego County, California",3263431,*****,2314039,15744,161603,6101,15950,2085,378006,6164,14253,2218,212047,14095,167533,11424,27817,4354,139716,9910
0500000US06075,06075,"San Francisco County, California",852469,*****,403610,5813,45986,1930,2382,638,289650,3176,3665,394,65067,6784,42109,3957,6226,1967,35883,3373
0500000US06077,06077,"San Joaquin County, California",715597,*****,394950,10164,52150,2053,4827,1224,109924,2535,4233,258,90729,9632,58784,6049,9132,2496,49652,5987
0500000US06079,06079,"San Luis Obispo County, California",279083,*****,243548,2460,5578,811,1188,415,11385,1019,0,200,9046,2090,8338,1679,1162,669,7176,1557
0500000US06081,06081,"San Mateo County, California",758581,*****,399957,7652,19872,1633,2463,996,206532,3058,9814,1415,83108,7593,36835,4521,6293,1786,30542,4311
