GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
0400000US01,01,Alabama,4599030,*****,3237958,4503,1209321,4826,20592,2441,45882,3284,3244,1920,34990,4307,47043,4036,3992,1303,43051,3699
0400000US02,02,Alaska,670053,*****,460170,2621,21476,2347,88026,2936,30151,1962,3753,753,11968,2391,54509,4888,2976,1217,51533,4733
0400000US04,04,Arizona,6166318,*****,4741310,21386,207837,5456,277732,6563,144858,3149,10960,1605,633350,18921,150271,10832,51759,5185,98512,8244
0400000US05,05,Arkansas,2810872,*****,2208224,5887,437680,4670,22787,2426,28168,2264,2045,440,68264,5663,43704,4292,5452,1384,38252,3873
0400000US06,06,California,36457549,*****,21810156,62036,2260648,14374,265963,10150,4483252,16220,129483,4369,6296602,59882,1211445,26548,401601,15925,809844,20684
0400000US08,08,Colorado,4753377,*****,3934971,14748,177902,4693,41161,3427,133079,3599,3745,557,337442,13603,125077,7048,33146,4162,91931,6389
0400000US09,09,Connecticut,3504809,*****,2800344,9041,332711,4745,7319,1417,117054,2323,1005,570,183188,9941,63188,5676,18836,3351,44352,4183
0400000US10,10,Delaware,853476,*****,615638,3832,176845,1971,2581,650,24413,1224,154,182,21555,3839,12290,2043,1531,636,10759,1914
0400000US11,11,District of Columbia,581530,*****,200395,3340,322105,2958,1903,430,19827,454,203,206,28127,3566,8970,2349,1662,808,7308,2213
0400000US12,12,Florida,18089889,*****,13767248,25188,2778549,13414,54150,4931,393427,4935,9125,2086,770503,24337,316887,13353,102476,8878,214411,10549
0400000US13,13,Georgia,9363941,*****,5816513,13245,2794300,9565,19771,2971,254899,4190,4229,1977,356334,13864,117895,9171,24963,4874,92932,7454
0400000US15,15,Hawaii,1285498,*****,337507,2426,28062,2260,4153,950,512995,10350,111488,4031,14513,2251,276780,11664,8460,1884,268320,11747
0400000US16,16,Idaho,1466465,*****,1357129,5032,6842,1148,16250,2087,15335,1451,2021,851,37435,4674,31453,2359,4236,1198,27217,2069
0400000US17,17,Illinois,12831970,*****,9074653,23238,1898346,7410,23310,2736,536992,4263,3201,1013,1095611,22125,199857,10350,64385,6593,135472,7376
0400000US18,18,Indiana,6313520,*****,5427561,9032,551864,5164,10964,1790,81054,2794,1278,666,151563,8753,89236,5312,12664,2335,76572,5141
