GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 years,Margin of Error; Male: - 20 years,Estimate; Male: - 21 years,Margin of Error; Male: - 21 years,Estimate; Male: - 22 to 24 years,Margin of Error; Male: - 22 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 39 years,Margin of Error; Male: - 35 to 39 years,Estimate; Male: - 40 to 44 years,Margin of Error; Male: - 40 to 44 years,Estimate; Male: - 45 to 49 years,Margin of Error; Male: - 45 to 49 years,Estimate; Male: - 50 to 54 years,Margin of Error; Male: - 50 to 54 years,Estimate; Male: - 55 to 59 years,Margin of Error; Male: - 55 to 59 years,Estimate; Male: - 60 and 61 years,Margin of Error; Male: - 60 and 61 years,Estimate; Male: - 62 to 64 years,Margin of Error; Male: - 62 to 64 years,Estimate; Male: - 65 and 66 years,Margin of Error; Male: - 65 and 66 years,Estimate; Male: - 67 to 69 years,Margin of Error; Male: - 67 to 69 years,Estimate; Male: - 70 to 74 years,Margin of Error; Male: - 70 to 74 years,Estimate; Male: - 75 to 79 years,Margin of Error; Male: - 75 to 79 years,Estimate; Male: - 80 to 84 years,Margin of Error; Male: - 80 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 years,Margin of Error; Female: - 20 years,Estimate; Female: - 21 years,Margin of Error; Female: - 21 years,Estimate; Female: - 22 to 24 years,Margin of Error; Female: - 22 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 39 years,Margin of Error; Female: - 35 to 39 years,Estimate; Female: - 40 to 44 years,Margin of Error; Female: - 40 to 44 years,Estimate; Female: - 45 to 49 years,Margin of Error; Female: - 45 to 49 years,Estimate; Female: - 50 to 54 years,Margin of Error; Female: - 50 to 54 years,Estimate; Female: - 55 to 59 years,Margin of Error; Female: - 55 to 59 years,Estimate; Female: - 60 and 61 years,Margin of Error; Female: - 60 and 61 years,Estimate; Female: - 62 to 64 years,Margin of Error; Female: - 62 to 64 years,Estimate; Female: - 65 and 66 years,Margin of Error; Female: - 65 and 66 years,Estimate; Female: - 67 to 69 years,Margin of Error; Female: - 67 to 69 years,Estimate; Female: - 70 to 74 years,Margin of Error; Female: - 70 to 74 years,Estimate; Female: - 75 to 79 years,Margin of Error; Female: - 75 to 79 years,Estimate; Female: - 80 to 84 years,Margin of Error; Female: - 80 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0400000US01,01,Alabama,4627851,*****,2238295,5238,156445,2866,157124,4816,156090,4740,100758,2353,71390,2716,36447,3557,31807,2904,93975,4076,150937,2782,138364,2515,152306,5403,161670,5542,166578,2135,157116,2196,137536,3863,52980,2974,59666,2823,38350,2427,48893,2899,65522,3116,51602,2630,32283,2387,20456,1895,2389556,5238,152558,3707,150868,4895,152081,4782,98726,2495,63762,2970,36313,2965,30463,2802,93151,4071,159546,2545,140404,2340,154997,4624,167430,5249,175953,2276,169058,1971,150290,4510,55595,3385,70720,3610,42749,2761,57791,3135,82737,3128,73387,2947,57960,2609,53017,3060
0400000US02,02,Alaska,683478,*****,357280,1766,26477,924,24821,1659,24451,1607,19173,1229,11445,1145,7298,1460,7270,1267,19937,2235,27396,1560,22919,1361,24168,1849,25584,1943,27840,1170,27927,875,23369,1410,7189,968,7837,1101,3935,687,4906,805,5540,873,4363,737,2134,493,1301,487,326198,1766,24195,784,22266,1802,23689,1493,16047,1081,10296,1224,4900,1097,5189,1255,14206,1471,23610,1563,20809,1220,21878,1846,25761,1809,28123,1123,26065,865,20174,1307,6382,957,7706,1117,4095,754,4837,825,6150,911,3531,649,2781,529,3508,670
0400000US04,04,Arizona,6338755,*****,3173292,2602,255105,1314,226887,5872,233441,5552,139270,1386,86261,2186,48527,3986,47738,3539,128283,5396,253641,2028,228001,1919,229548,4887,212678,5162,214919,1756,189049,966,167895,3879,63439,3730,81195,3547,49008,2803,61358,3156,87784,3685,81271,3631,50193,2766,37801,3055,3165463,2602,243862,1648,226616,5270,215087,5194,130287,1486,78726,1995,43564,4291,43387,3565,115889,5031,225922,1647,208495,1866,216047,5901,206387,5522,217385,1056,199024,999,181579,4127,68598,4043,92847,3393,55533,3510,71016,3184,96532,3514,95656,3772,69260,3689,63764,3692
0400000US05,05,Arkansas,2834797,*****,1387235,3965,99541,2274,98861,3392,97564,3408,60793,2175,42474,2702,22430,2574,20238,2160,54044,3112,95572,2616,88049,3104,91671,4059,96482,3962,102243,2576,92805,2047,83456,3056,29913,2099,40974,2804,24146,2087,30666,2053,42267,2302,32435,1977,24630,1770,15981,1681,1447562,3965,97409,2235,96574,3845,93052,3468,57698,1945,41749,2491,17951,1952,18444,2600,54165,2940,96195,2301,86195,2333,93046,4009,100160,3971,101334,1728,99300,1954,87233,3143,34941,2171,44305,2545,25720,2150,35957,2740,51110,2832,43287,2437,35555,2462,36182,2243
0400000US06,06,California,36553215,*****,18281748,4844,1364004,3008,1247886,12475,1341959,13073,852727,2906,573361,4855,312284,9065,283873,10245,830164,12715,1390430,3942,1323195,3933,1383909,14744,1398204,14662,1355988,3799,1193143,2747,983303,10953,341165,7881,398458,8506,240094,6147,290009,6756,412494,5831,334850,6973,246865,5560,183383,6043,18271467,4844,1297886,2824,1195931,13728,1274387,13426,808841,2887,536117,2896,267950,9426,269220,8283,764863,10667,1261564,3182,1230351,2813,1324304,14188,1343506,14172,1345953,2943,1219020,3101,1026457,12030,370017,8766,441846,8994,263046,6753,340422,7106,502266,7548,445457,10392,380956,9857,361107,8630
0400000US08,08,Colorado,4861515,*****,2451108,3586,178403,1990,167176,5017,163045,4435,101503,2094,68581,1991,36438,4046,41465,4031,100739,4212,196564,2573,181566,2258,193154,5487,181928,5996,191390,2114,177303,1897,147536,4673,50199,3358,60324,3344,30590,1686,41422,2351,53597,2345,41062,1923,26916,1943,20207,1605,2410407,3586,170917,1891,162983,4263,151274,4222,96838,1350,60886,1791,34309,3444,32314,3196,90940,3936,180268,2188,163947,2563,178106,4828,173752,4717,193800,2165,177516,1884,149560,3757,49934,2945,63464,3434,31841,1980,43472,2309,65241,2678,52519,2488,44103,2477,42423,2207
0400000US09,09,Connecticut,3502309,*****,1706150,1888,108908,1365,113480,3965,119389,3823,76643,832,52233,1455,28912,2463,25379,2266,60040,2843,101652,1375,101253,1109,120347,3783,138476,3545,142973,986,129823,1126,106363,3043,37539,2458,48718,2438,25848,2336,31383,2248,47163,2389,37693,1959,27134,1976,24801,2089,1796159,1888,103076,840,107160,4075,116166,3947,74228,1280,48439,750,26505,2295,24024,2410,58159,2827,97702,874,102050,1161,127432,4012,141123,3948,149295,915,134101,878,115539,3386,41444,2978,52278,2879,29991,2168,37915,2174,56388,2512,51334,2844,46409,2376,55401,2896
0400000US10,10,Delaware,864764,*****,418659,993,30052,625,26594,2019,30049,2113,17916,595,13941,950,6420,1260,6017,933,16923,1552,26586,774,24352,540,28720,2215,32753,2087,31805,789,29561,610,26588,1616,9166,1373,10876,1296,7481,1041,9089,1035,12153,1249,10839,963,5679,798,5099,807,446105,993,29110,556,25886,1757,28205,1715,17820,460,12905,631,6172,1080,6766,1232,16053,1176,28301,314,26741,561,31365,2153,32411,2134,33972,589,31015,314,25543,1673,10735,1323,16364,1665,7003,1036,11233,1248,14778,1122,13693,1318,9448,1222,10586,1419
0400000US11,11,District of Columbia,588292,*****,277076,806,18218,205,14816,1575,14231,1712,9957,460,9060,434,3943,1062,4583,1619,16329,1799,28260,811,23739,2,22566,1729,20286,1643,19630,417,16697,495,15296,1238,5932,1023,6038,1136,4024,804,4801,745,6897,900,5451,911,4038,795,2284,596,311216,806,18094,336,14656,1502,14042,1441,9560,472,10910,320,4491,1137,4298,1555,20086,1721,30787,438,25216,328,22383,1621,20525,1662,20304,510,19375,579,20115,1415,6496,1294,7109,1218,4279,833,6550,873,9732,937,7341,1179,6746,1227,8121,1140
