GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0400000US01,01,Alabama,4833722,*****,3330478,7452,1284102,5822,22459,2783,58624,3007,1521,852,54784,6398,81754,6685,8730,2903,73024,6537
0400000US02,02,Alaska,735132,*****,487762,2607,25077,1949,105310,3347,41775,2518,8794,1026,9508,2162,56906,5042,2077,1149,54829,4959
0400000US04,04,Arizona,6626624,*****,5233466,20452,277973,5853,288294,6139,191718,5359,12609,1319,410756,18564,211808,11630,42617,5460,169191,10258
0400000US05,05,Arkansas,2959373,*****,2305726,6481,463928,4170,17704,2195,39210,2372,628,537,66953,6137,65224,4906,5289,1388,59935,4958
0400000US06,06,California,38332521,*****,23741019,60867,2269021,12513,278377,12277,5210236,17797,142782,5004,4961376,59949,1729710,28372,403831,17049,1325879,25267
0400000US08,08,Colorado,5268367,*****,4415852,16310,209555,5662,43613,4460,150852,3675,8315,1623,251148,13750,189032,9967,35393,3729,153639,8717
0400000US09,09,Connecticut,3596080,*****,2778681,12024,370998,6001,8018,2149,147570,3638,545,469,185341,11698,104927,7874,27247,4765,77680,5559
0400000US10,10,Delaware,925749,*****,637606,5016,200249,4547,3955,989,33639,1165,841,508,23029,4146,26430,4367,2898,1619,23532,3917
0400000US11,11,District of Columbia,646449,*****,264080,4748,315504,3335,1272,709,22963,1409,104,120,21681,4483,20845,3333,3447,1466,17398,3185
