city,lat,lon
"Albany, New York",42.6526,-73.7562
"Albuquerque, New Mexico",35.0853,-106.6056
"Amarillo, Texas",35.2220,-101.8313
"Anchorage, Alaska",61.2181,-149.9003
"Atlanta, Georgia",33.7490,-84.3880
"Austin, Texas",30.2672,-97.7431
"Baker, Oregon",44.7749,-117.8344
"Baltimore, Maryland",39.2904,-76.6122
"Bangor, Maine",44.8012,-68.7778
"Birmingham, Alabama",33.5207,-86.8025
"Bismarck, North Dakota",46.8083,-100.7837
"Boise, Idaho",43.6187,-116.2146
"Boston, Massachusetts",42.3601,-71.0589
"Buffalo, New York",42.8864,-78.8784
"Carlsbad, New Mexico",32.4207,-104.2288
"Charleston, South Carolina",32.7765,-79.9311
"Charleston, West Virgina",38.3498,-81.6326
"Charlotte, North Carolina",35.2271,-80.8431
"Cheyenne, Wyoming",41.1400,-104.8202
"Chicago, Illinois",41.8781,-87.6298
"Cincinnati, Ohio",39.1031,-84.5120
"Cleveland, Ohio",41.4993,-81.6944
"Columbia, South Carolina",34.0007,-81.0348
"Columbus, Ohio",39.9612,-82.9988
"Dallas, Texas",32.7767,-96.7970
"Denver, Colorado",39.7392,-104.9903
"Des Moines, Iowa",41.6005,-93.6091
"Detroit, Michigan",42.3314,-83.0458
"Dubuque, Iowa",42.5006,-90.6646
"Duluth, Minnesota",46.7867,-92.1005
"Eastport, Maine",44.9062,-66.9900
"El Centro, California",32.7920,-115.5631
"El Paso, Texas",31.7619,-106.4850
"Eugene, Oregon",44.0521,-123.0868
"Fargo, North Dakota",46.8772,-96.7898
"Flagstaff, Arizona",35.1983,-111.6513
"Fort Worth, Texas",32.7555,-97.3308
"Fresno, California",36.7468,-119.7726
"Grand Junction, Colorado",39.0639,-108.5506
"Grand Rapids, Michigan",42.9634,-85.6681
"Havre, Montana",48.5500,-109.6841
"Helena, Montana",46.5884,-112.0245
"Honolulu, Hawaii",21.3069,-157.8583
"Hot Springs, Arkansas",34.5037,-93.0552
"Houston, Texas",29.7604,-95.3698
"Idaho Falls, Idaho",43.4917,-112.0340
"Indianapolis, Indiana",39.7684,-86.1581
"Jackson, Mississippi",32.2988,-90.1848
"Jacksonville, Florida",30.3322,-81.6557
"Juneau, Alaska",58.3019,-134.4197
"Kansas City, Missouri",39.0997,-94.5786
"Klamath Falls, Oregon",42.2249,-121.7817
"Knoxville, Tennessee",35.9606,-83.9207
"Las Vegas, Nevada",36.1699,-115.1398
"Lewiston, Idaho",46.4004,-117.0012
"Lincoln, Nebraska",40.8258,-96.6852
"Los Angeles, California",34.0522,-118.2437
"Louisville, Kentucky",38.2527,-85.7585
"Manchester, New Hampshire",42.9956,-71.4548
"Memphis, Tennessee",35.1495,-90.0490
"Miami, Florida",25.7617,-80.1918
"Milwaukee, Wisconsin",43.0389,-87.9065
"Minneapolis, Minnesota",44.9778,-93.2650
"Moab, Utah",38.5733,-109.5498
"Mobile, Alabama",30.6954,-88.0399
"Montgomery, Alabama",32.3668,-86.3000
"Montpelier, Vermont",44.2601,-72.5754
"Nashville, Tennessee",36.1627,-86.7816
"New Haven, Connecticut",41.3083,-72.9279
"New Orleans, Louisiana",29.9511,-90.0715
"New York City, New York",40.7128,-74.0059
"Nome, Alaska",64.5011,-165.4064
"Oklahoma City, Oklahoma",35.4676,-97.5164
"Omaha, Nebraska",41.2524,-95.9980
"Philadelphia, Pennsylvania",39.9526,-75.1652
"Phoenix, Arizona",33.4484,-112.0740
"Pierre, South Dakota",44.3683,-100.3510
"Pittsburgh, Pennsylvania",40.4406,-79.9959
"Portland, Maine",43.6615,-70.2553
"Portland, Oregon",45.5231,-122.6765
"Providence, Rhode Island",41.8240,-71.4128
"Raleigh, North Carolina",35.7796,-78.6382
"Reno, Nevada",39.5296,-119.8138
"Richmond, Virgina",37.5407,-77.4360
"Roanoke, Virginia",37.2710,-79.9414
"Sacramento, California",38.5816,-121.4944
"St. Louis, Missouri",38.6270,-90.1994
"Salt Lake City, Utah",40.7608,-111.8910
"San Antonio, Texas",29.4241,-98.4936
"San Diego, California",32.7157,-117.1611
"San Francisco, California",37.7749,-122.4194
"San Jose, California",37.3382,-121.8863
"Santa Fe, New Mexico",35.6870,-105.9378
"Savannah, Georgia",32.0835,-81.0998
"Seattle, Washington",47.6062,-122.3321
"Shreveport, Louisiana",32.5252,-93.7502
"Sioux Falls, South Dakota",43.5446,-96.7311
"Sitka, Alaska",57.0531,-135.3300
"Spokane, Washington",47.6588,-117.4260
"Springfield, Illinois",39.7817,-89.6501
"Springfield, Massachusetts",42.1015,-72.5898
"Springfield, Missouri",37.2090,-93.2923
"Syracuse, New York",43.0481,-76.1474
"Tampa, Florida",27.9506,-82.4572
"Toledo, Ohio",41.6639,-83.5552
"Tulsa, Oklahoma",36.1540,-95.9928
"Virginia Beach, Virginia",36.8529,-75.9780
"Wichita, Kansas",37.6872,-97.3301
"Wilmington, North Carolina",34.2257,-77.9447
